name,score,defaults,type
Raymond Lindemann,4,1,Zahlt nicht zurück
Meinrad Günzel,10,1,Zahlt nicht zurück
Yvette Bergmann,10,1,Zahlt nicht zurück
Hans-Otto Daniels,6,0,Zahlt zurück
Traude Grams,4,0,Zahlt zurück
Kai-Uwe Strauss,8,0,Zahlt zurück
Nancy Fix,4,0,Zahlt zurück
Igor Pawlik,5,0,Zahlt zurück
Monique Locher,7,0,Zahlt zurück
Marlies Schardt,10,0,Zahlt zurück
Senta Glas,8,0,Zahlt zurück
Valeria Melcher,3,0,Zahlt zurück
Hans-Georg Sager,5,0,Zahlt zurück
Malgorzata Aigner,3,1,Zahlt nicht zurück
Alex Hepp,5,0,Zahlt zurück
Daniela Holm,5,0,Zahlt zurück
Hasan März,2,0,Zahlt zurück
Annemarie Hallmann,8,0,Zahlt zurück
Wolfgang Käfer,1,0,Zahlt zurück
Friedhilde Weyer,9,0,Zahlt zurück
Dan Prause,10,0,Zahlt zurück
Kriemhild Manke,4,0,Zahlt zurück
Recep Herzberg,8,0,Zahlt zurück
Ayse Eppler,1,1,Zahlt nicht zurück
Grazyna Marschner,5,0,Zahlt zurück
Ljubica Backes,10,0,Zahlt zurück
Heinz-Joachim Donner,8,1,Zahlt nicht zurück
Jano Göhring,2,0,Zahlt zurück
Sylvester Buch,8,0,Zahlt zurück
Stella Janßen,4,1,Zahlt nicht zurück
Rüdiger Buchwald,3,0,Zahlt zurück
Miguel Bendig,2,0,Zahlt zurück
Ramon Schacht,5,1,Zahlt nicht zurück
Giuseppina Engler,8,0,Zahlt zurück
Natalija Voll,2,1,Zahlt nicht zurück
Louis Schoch,5,0,Zahlt zurück
Alan Jahnke,3,0,Zahlt zurück
Gönül Lammers,9,1,Zahlt nicht zurück
Alexa Schüller,1,1,Zahlt nicht zurück
Romuald Rosner,6,0,Zahlt zurück
Marek Dreyer,2,0,Zahlt zurück
Claudio Matern,3,0,Zahlt zurück
Ella Jeske,6,0,Zahlt zurück
Jonah Hofer,1,1,Zahlt nicht zurück
Nadia Brandes,2,1,Zahlt nicht zurück
Folkert Dahl,9,0,Zahlt zurück
Walter Linde,3,1,Zahlt nicht zurück
Guenther Thome,5,0,Zahlt zurück
Claas Sonntag,5,0,Zahlt zurück
Nils Gürtler,3,0,Zahlt zurück
Gero Straßer,3,0,Zahlt zurück
Eva-Maria Klinger,2,1,Zahlt nicht zurück
Alwina Völker,8,1,Zahlt nicht zurück
Edmund Thormann,8,1,Zahlt nicht zurück
Ivana Strauss,9,0,Zahlt zurück
Steven Merkel,1,1,Zahlt nicht zurück
Francesco Posselt,9,1,Zahlt nicht zurück
Hans-Wilhelm Egger,7,1,Zahlt nicht zurück
Erdogan Dirks,7,0,Zahlt zurück
Nadja Freese,1,1,Zahlt nicht zurück
Irmgard Ender,1,0,Zahlt zurück
Uwe Nebel,4,0,Zahlt zurück
Edeltrud Peukert,10,0,Zahlt zurück
Joerg Dröge,9,0,Zahlt zurück
Hans-Dieter Bickel,4,0,Zahlt zurück
Johanna Klett,3,0,Zahlt zurück
Cetin Heer,9,0,Zahlt zurück
Sibylla Laskowski,4,0,Zahlt zurück
Karl-Werner Thomsen,4,1,Zahlt nicht zurück
Beate Heuer,10,0,Zahlt zurück
Baldur Fehrenbach,4,1,Zahlt nicht zurück
Gusti Steinberg,2,0,Zahlt zurück
Ursula Deutsch,6,0,Zahlt zurück
Katharine Hassel,4,0,Zahlt zurück
Amanda Hauser,8,0,Zahlt zurück
Cornelia Köhn,2,0,Zahlt zurück
Evelin Herr,9,0,Zahlt zurück
Birgitta Wildner,4,0,Zahlt zurück
Chantal Jacobs,6,0,Zahlt zurück
Laurenz Geiß,6,0,Zahlt zurück
Kenneth Kettler,8,0,Zahlt zurück
Thorben Volkmer,9,0,Zahlt zurück
Hansjörg Radermacher,4,0,Zahlt zurück
Dominic Kramer,4,0,Zahlt zurück
Fridolin Kissel,1,1,Zahlt nicht zurück
Heinz-Dieter Stolle,8,0,Zahlt zurück
Edward Kessel,8,1,Zahlt nicht zurück
Carmine Steffan,5,1,Zahlt nicht zurück
Aysel Weyand,4,0,Zahlt zurück
Wiltrud Jensen,4,0,Zahlt zurück
Hans-Hinrich Schorn,8,0,Zahlt zurück
Alex Oehme,3,0,Zahlt zurück
Raphaela Blankenburg,8,1,Zahlt nicht zurück
Reinhild Friesen,10,1,Zahlt nicht zurück
Diether Höpfner,8,0,Zahlt zurück
Theda Wieland,6,1,Zahlt nicht zurück
Monja Kölsch,2,1,Zahlt nicht zurück
Halina Krebs,9,0,Zahlt zurück
Aloys Knödler,1,1,Zahlt nicht zurück
Alois Steininger,9,0,Zahlt zurück
