name,score,defaults,type
Katerina Bartmann,8,1,Zahlt nicht zurück
Wilhelm Böhmer,7,0,Zahlt zurück
Sylvie Pflaum,1,1,Zahlt nicht zurück
Niko Spielmann,8,0,Zahlt zurück
Lotte Both,1,0,Zahlt zurück
Wigbert Heinzel,2,1,Zahlt nicht zurück
Ortwin Hanf,6,0,Zahlt zurück
Pedro Häring,1,0,Zahlt zurück
Lia Langenbach,5,0,Zahlt zurück
Dora Klingbeil,4,0,Zahlt zurück
Mira Kaczmarek,7,0,Zahlt zurück
Ortrud Eilers,1,0,Zahlt zurück
Cetin Jobst,9,0,Zahlt zurück
Wera Köppe,1,1,Zahlt nicht zurück
Mijo Burkart,8,0,Zahlt zurück
Emilia Püschel,6,0,Zahlt zurück
Anastasia Bollmann,6,0,Zahlt zurück
Anatoli Morgenstern,9,0,Zahlt zurück
Mathilde Frahm,6,0,Zahlt zurück
Arif Degen,9,0,Zahlt zurück
Salih Heymann,6,1,Zahlt nicht zurück
Loretta Glaß,8,0,Zahlt zurück
Traudl Kröger,3,0,Zahlt zurück
Eric Stenzel,3,1,Zahlt nicht zurück
Vitus Bolz,6,0,Zahlt zurück
Heinz-Gerd Keim,6,0,Zahlt zurück
Annedore Wenz,2,0,Zahlt zurück
Ivanka Bürger,1,0,Zahlt zurück
Fernando Weis,5,1,Zahlt nicht zurück
Tom Bley,1,1,Zahlt nicht zurück
Annemarie Schick,8,0,Zahlt zurück
Marek Reindl,7,1,Zahlt nicht zurück
Katherina Beermann,6,1,Zahlt nicht zurück
Gülsen Bretschneider,7,0,Zahlt zurück
Inna Kögler,7,0,Zahlt zurück
Hans-Günter Fischer,5,0,Zahlt zurück
Ilona Wolters,5,0,Zahlt zurück
Peter-Michael Brust,9,0,Zahlt zurück
Elma Sperber,5,0,Zahlt zurück
Hans Ebel,10,0,Zahlt zurück
Ruth Hüls,1,0,Zahlt zurück
Gerhard Drexler,8,0,Zahlt zurück
Hardy Klocke,3,0,Zahlt zurück
Gerhild Kliem,9,0,Zahlt zurück
Gerald Selzer,9,1,Zahlt nicht zurück
Alida Heinzmann,8,0,Zahlt zurück
Ricarda Holstein,10,0,Zahlt zurück
Simone Mücke,2,0,Zahlt zurück
Ester Georg,3,0,Zahlt zurück
Mariele Hahne,3,0,Zahlt zurück
Heino Reinhold,8,0,Zahlt zurück
Lili Schultze,1,1,Zahlt nicht zurück
Susi Severin,4,1,Zahlt nicht zurück
Kaspar Gehrke,10,0,Zahlt zurück
Romy Rath,5,1,Zahlt nicht zurück
Nadia Gutjahr,1,1,Zahlt nicht zurück
Hermann Niehues,4,0,Zahlt zurück
Melissa Welter,2,0,Zahlt zurück
Katharine Scheck,3,0,Zahlt zurück
Pius Pollak,8,0,Zahlt zurück
German Assmann,6,1,Zahlt nicht zurück
Elias Reiser,9,1,Zahlt nicht zurück
Karoline Henne,5,0,Zahlt zurück
Katharine Birke,7,1,Zahlt nicht zurück
Hans-Heinrich Gerhard,7,0,Zahlt zurück
Veit Hüls,10,0,Zahlt zurück
Jakob Weiss,2,1,Zahlt nicht zurück
Orhan Tröger,6,0,Zahlt zurück
Gertraud Schmelz,2,0,Zahlt zurück
Roland Rohrer,5,1,Zahlt nicht zurück
Marga Hampe,6,0,Zahlt zurück
Hans-Günther Rose,8,0,Zahlt zurück
Lore Warnke,8,0,Zahlt zurück
Julia Hartmann,1,0,Zahlt zurück
Annamaria Grothe,9,0,Zahlt zurück
Maurizio Bunge,6,0,Zahlt zurück
Virginia Lochner,10,0,Zahlt zurück
Guido Buhr,5,0,Zahlt zurück
Amanda Spieker,1,1,Zahlt nicht zurück
Mathias Nissen,8,0,Zahlt zurück
Alexei Lucas,8,1,Zahlt nicht zurück
Mariana Häfele,10,0,Zahlt zurück
Marit Goll,4,1,Zahlt nicht zurück
Burkhard Bayer,6,0,Zahlt zurück
Eduard Wiebe,10,0,Zahlt zurück
Hermann Josef Matthias,5,1,Zahlt nicht zurück
Karoline Bauer,9,0,Zahlt zurück
Giovanna Nienhaus,3,1,Zahlt nicht zurück
Sibille Jungbluth,1,0,Zahlt zurück
Frank-Michael Röll,8,0,Zahlt zurück
Jovan Knauf,9,0,Zahlt zurück
Klaus Peter Veit,6,1,Zahlt nicht zurück
Karlheinz Grahl,7,0,Zahlt zurück
Karl-Heinz Hunger,10,1,Zahlt nicht zurück
Gereon Zeh,3,0,Zahlt zurück
Folkert Blum,8,0,Zahlt zurück
Anica Schüssler,3,1,Zahlt nicht zurück
Elwira Wilhelmi,6,0,Zahlt zurück
Nadia Behrens,8,1,Zahlt nicht zurück
Simon Tröster,7,0,Zahlt zurück
